Grammar,Swedish,English,Type,Examples
,och,and,conj,
att,vara,be,verb,e.g. var så god!
,i,in,prep,
att,ha,have,verb,
,dess,its,pronoun,
,det,the,pronoun,
,en,one,det,
,som,as,pronoun,
,på,on,prep,
,å,on,prep,e.g. å ena sidan…å andra sidan
,av,of,prep,
,för,for,prep,
,att,to,subj,
att,kunna,be able to,verb,
,skola,school,aux verb,"(vanligast ska/skall, skulle)"
,jag,i,pronoun,
,inte,not,adverb,
,med,with,prep,
,till,to,prep,
,liten,small,adjective,
,den,the,det,
,ett,one,det,
,analog,analogue,adjective,
att,unna,treat,verb,e.g. unna sig
,om,if,prep,
,vi,we,pronoun,
,men,but,conj,
,man,man,pronoun,
,de,the,det,
att,få,get,verb,
,så,so,adverb,
,som,as,conj,
,sig,to,pronoun,
,han,he,pronoun,
,de,the,pronoun,
att,bli,become,verb,
att,komma,come,verb,e.g. komma fram/ihåg/in/ner/tillbaka/ut/överens
,det,the,det,
,sin,its,pronoun,
,eller,or,conj,
,från,from,prep,
,mycket,very,adverb,
att,vilja,will,verb,
,all,all,pronoun,
att,göra,do,verb,e.g. göra om/upp
,om,if,subj,
,annan,other,pronoun,
,du,you,pronoun,
,någon,any,pronoun,
att,finna,find,verb,
att,ta,take,verb,e.g. ta av/bort/med/upp/ut
,när,when,adverb,
att,se,see,verb,"e.g. se efter/upp/ut, se sig om"
,måste,must,aux verb,
,detta,this,pronoun,
,stor,big,adjective,
,nu,now,adverb,
att,gå,go,verb,e.g. gå bort/fram/in/iväg/ner/omkring/runt/till/upp/ut/över
att,säga,say,verb,e.g. säga upp sig
,den,the,pronoun,
,vad,what,pronoun,
ett,år,year,noun-ett,
att,äga,own,verb,e.g. äga rum
,under,during,prep,
att,betyda,mean,verb,
,också,also,adverb,
,där,where,adverb,
,då,then,adverb,
,min,my,pronoun,
,böra,behoove,aux verb,"(vanligast bör, borde)"
,hur,how,adverb,
,mig,me,pronoun,
,mot,against,prep,
,bara,only,adverb,
,vilken,which,pronoun,
,ut,out,adverb,
,ny,new,adjective,
,vid,at,prep,
,än,than,conj,
,bra,good,adjective,
,ingen,no,pronoun,
,dem,them,pronoun,
,efter,after,prep,
,upp,up,particle,
,hon,she,pronoun,
,lite,a little,adverb,
,denna,this,pronoun,
,in,in,adverb,
,mycket,very,adjective,
,över,over,prep,
att,ge,give,verb,"e.g. ge upp/ut, ge sig, ge sig av"
,vår,spring,pronoun,
en,del,part,noun-en,
,här,here,adverb,
,även,also,adverb,
att,skriva,write,verb,e.g. skriva in/under/upp/ut
en,tid,time,noun-en,
,ju,the,adverb,
,sedan,then,adverb,
att,te,tea,verb,
att,riva,tear,verb,
att,börja,start,verb,
,hel,whole,adjective,
en,dag,day,noun-en,e.g. god dag
,själv,self,pronoun,
en,människa,person,noun-en,
ett,land,country,noun-ett,
,svensk,swedish,adjective,
